iter	Passed	Remaining
987	30086	30816
988	30115	30785
989	30144	30753
990	30172	30720
991	30201	30688
992	30229	30655
993	30255	30620
994	30283	30587
995	30313	30556
996	30339	30522
997	30367	30489
998	30394	30455
999	30422	30422
1000	30449	30389
1001	30480	30358
1002	30514	30331
1003	30542	30298
1004	30570	30266
1005	30588	30223
1006	30618	30192
1007	30645	30159
1008	30674	30127
1009	30703	30095
1010	30726	30057
1011	30755	30025
1012	30781	29991
1013	30808	29957
1014	30834	29923
1015	30863	29891
1016	30884	29851
1017	30908	29815
1018	30936	29782
1019	30962	29748
1020	30990	29715
1021	31016	29681
1022	31045	29649
1023	31073	29617
1024	31101	29583
1025	31128	29550
1026	31155	29517
1027	31187	29488
1028	31214	29455
1029	31241	29421
1030	31270	29389
1031	31298	29357
1032	31325	29323
1033	31351	29289
1034	31378	29256
1035	31407	29224
1036	31427	29185
1037	31454	29151
1038	31482	29119
1039	31510	29086
1040	31537	29053
1041	31567	29022
1042	31595	28990
1043	31620	28954
1044	31650	28924
1045	31678	28891
1046	31708	28861
1047	31737	28829
1048	31764	28796
1049	31795	28767
1050	31826	28737
1051	31855	28706
1052	31885	28676
1053	31916	28646
1054	31947	28616
1055	31973	28582
1056	31999	28548
1057	32029	28517
1058	32054	28482
1059	32082	28450
1060	32114	28421
1061	32141	28388
1062	32166	28353
1063	32192	28319
1064	32218	28285
1065	32247	28254
1066	32274	28221
1067	32301	28188
1068	32327	28154
1069	32359	28125
1070	32388	28093
1071	32422	28067
1072	32449	28034
1073	32477	28002
1074	32505	27969
1075	32533	27937
1076	32560	27904
1077	32590	27873
1078	32617	27840
1079	32646	27810
1080	32677	27780
1081	32708	27750
1082	32735	27717
1083	32761	27684
1084	32789	27651
1085	32817	27619
1086	32848	27590
1087	32877	27558
1088	32904	27526
1089	32935	27496
1090	32967	27468
1091	32999	27439
1092	33031	27410
1093	33064	27382
1094	33092	27350
1095	33123	27320
1096	33154	27291
1097	33184	27260
1098	33213	27229
1099	33243	27199
1100	33262	27159
1101	33295	27132
1102	33321	27098
1103	33350	27066
1104	33378	27035
1105	33425	27018
1106	33468	26998
1107	33501	26970
1108	33532	26941
1109	33563	26911
1110	33594	26881
1111	33626	26852
1112	33654	26820
1113	33685	26790
1114	33715	26760
1115	33747	26731
1116	33776	26701
1117	33810	26673
1118	33838	26641
1119	33858	26603
1120	33882	26568
1121	33911	26536
1122	33937	26503
1123	33966	26472
1124	33995	26440
1125	34020	26406
1126	34047	26373
1127	34074	26341
1128	34103	26310
1129	34129	26276
1130	34156	26244
1131	34181	26209
1132	34207	26176
1133	34236	26145
1134	34261	26110
1135	34287	26077
1136	34315	26045
1137	34342	26013
1138	34372	25983
1139	34402	25952
1140	34454	25939
1141	34481	25906
1142	34508	25873
1143	34544	25847
1144	34579	25821
1145	34618	25797
1146	34648	25767
1147	34681	25739
1148	34716	25712
1149	34747	25682
1150	34781	25655
1151	34813	25626
1152	34845	25597
1153	34876	25568
1154	34902	25535
1155	34929	25502
1156	34961	25473
1157	34990	25442
1158	35015	25408
1159	35043	25376
1160	35072	25345
1161	35103	25315
1162	35128	25281
1163	35159	25252
1164	35190	25222
1165	35219	25191
1166	35248	25160
1167	35281	25131
1168	35312	25102
1169	35342	25071
1170	35377	25045
1171	35411	25017
1172	35442	24987
1173	35471	24956
1174	35485	24915
1175	35514	24883
1176	35543	24852
1177	35570	24820
1178	35601	24791
1179	35631	24761
1180	35657	24728
1181	35686	24696
1182	35719	24668
1183	35756	24643
1184	35788	24614
1185	35823	24586
1186	35847	24552
1187	35879	24523
1188	35908	24492
1189	35935	24460
1190	35964	24429
1191	35992	24397
1192	36023	24367
1193	36049	24335
1194	36081	24305
1195	36109	24274
1196	36142	24245
1197	36170	24214
1198	36205	24187
1199	36238	24159
1200	36266	24127
1201	36296	24096
1202	36324	24065
1203	36351	24032
1204	36383	24003
1205	36412	23972
1206	36441	23942
1207	36469	23910
1208	36499	23880
1209	36524	23846
1210	36554	23816
1211	36584	23785
1212	36612	23754
1213	36638	23721
1214	36663	23687
1215	36695	23658
1216	36734	23634
1217	36765	23604
1218	36800	23577
1219	36836	23551
1220	36871	23524
1221	36914	23501
1222	36952	23476
1223	36988	23450
1224	37025	23424
1225	37063	23399
1226	37095	23369
1227	37119	23335
1228	37143	23301
1229	37171	23269
1230	37198	23237
1231	37226	23206
1232	37251	23172
1233	37276	23139
1234	37304	23107
1235	37330	23074
1236	37355	23041
1237	37384	23010
1238	37413	22979
1239	37453	22955
1240	37490	22929
1241	37530	22905
1242	37561	22875
1243	37597	22848
1244	37629	22819
1245	37665	22792
1246	37694	22761
1247	37731	22735
1248	37763	22706
1249	37792	22675
1250	37822	22645
1251	37843	22609
1252	37871	22577
1253	37906	22550
1254	37937	22520
1255	37973	22493
1256	38000	22461
1257	38027	22429
1258	38056	22398
1259	38089	22369
1260	38123	22341
1261	38159	22315
1262	38191	22286
1263	38217	22253
1264	38250	22224
1265	38278	22192
1266	38308	22162
1267	38337	22131
1268	38366	22100
1269	38400	22072
1270	38429	22041
1271	38458	22011
1272	38484	21977
1273	38511	21946
1274	38535	21912
1275	38562	21880
1276	38596	21852
1277	38621	21819
1278	38650	21787
1279	38680	21757
1280	38708	21726
1281	38744	21699
1282	38772	21667
1283	38800	21636
1284	38830	21606
1285	38861	21576
1286	38903	21552
1287	38936	21523
1288	38961	21490
1289	38990	21459
1290	39018	21428
1291	39042	21394
1292	39073	21365
1293	39102	21333
1294	39132	21304
1295	39163	21274
1296	39187	21240
1297	39212	21207
1298	39237	21174
1299	39266	21143
1300	39291	21110
1301	39316	21077
1302	39340	21044
1303	39367	21012
1304	39395	20980
1305	39418	20946
1306	39450	20917
1307	39478	20885
